Repository,Filename,Presegmented,SGM Manually Corrected,SGM GitHub Corrected,Transcript by computer,Reviewed Transcript,DropCapitalZone,GraphicZone,Other,
Bucer_Rm_001,bsb10313792_00466.xml,Y,Y,Y,Y,Y,eSc_textblock_f719a09d, -, -,
Bucer_Rm_001,bsb10313792_00467.xml,Y,Y,Y,Y,Y,eSc_textblock_2e8ff9bf,eSc_textblock_da6a4d27, -, -
Bucer_Rm_001,bsb10313792_00468.xml,Y,Y,Y,Y,Y,eSc_textblock_8e8b924a, -, -,
Bucer_Rm_001,bsb10313792_00469.xml,Y,Y,Y,Y,Y, -, -, -,
Bucer_Rm_001,bsb10313792_00470.xml,Y,Y,Y,Y,Y, -, -, -,
Bucer_Rm_001,bsb10313792_00471.xml,Y,Y,Y,Y,Y, -, -, -,
Bucer_Rm_001,bsb10313792_00472.xml,Y,Y,Y,Y,Y, -, -, -,
Bucer_Rm_001,bsb10313792_00473.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00474.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00475.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00476.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00477.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00478.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00479.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00480.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00481.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00482.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00483.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00484.xml,Y,Y,Y,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00485.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00486.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00487.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00488.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00489.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00490.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00491.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00492.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00493.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00494.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00495.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00496.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00497.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00498.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00499.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00500.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00501.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00502.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00503.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00504.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00505.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00506.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00507.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00508.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00509.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00510.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00511.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00512.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00513.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00514.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00515.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00516.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00517.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00518.xml,Y,N,N,N,N, -, -, -,
Bucer_Rm_001,bsb10313792_00519.xml,Y,N,N,N,N, -, -, -,
