Repository,Filename,Presegmented,SGM Manually Corrected,SGM GitHub Corrected,Transcript by computer,Reviewed Transcript,DropCapitalZone,GraphicZone,Other,
lefevre_Rm_001,bsb11059254_00203.xml,Y,Y,Y,N,N, eSc_textblock_c2d1b52b, -, -,
lefevre_Rm_001,bsb11059254_00204.xml,Y,Y,Y,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00205.xml,Y,Y,Y,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00206.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00207.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00208.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00209.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00210.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00211.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00212.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00213.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00214.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00215.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00216.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00217.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00218.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00219.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00220.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00221.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00222.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00223.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00224.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00225.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00226.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00227.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00228.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00229.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00230.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00231.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00232.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00233.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00234.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00235.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00236.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00237.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00238.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00239.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00240.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00241.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00242.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00243.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00244.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00245.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00246.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00247.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00248.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00249.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00250.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00251.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00252.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00253.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00254.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00255.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00256.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00257.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00258.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00259.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00260.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00261.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00262.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00263.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00264.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00265.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00266.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00267.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00268.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00269.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00270.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00271.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00272.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00273.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00274.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00275.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00276.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00277.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00278.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00279.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00280.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00281.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00282.xml,Y,N,N,N,N, -, -, -,
lefevre_Rm_001,bsb11059254_00283.xml,Y,N,N,N,N, -, -, -,
