Repository,Filename,Presegmented,SGM Manually Corrected,SGM GitHub Corrected,Transcript by computer,Reviewed Transcript,DropCapitalZone,GraphicZone,Other
Bucer_Eph_001,bsb00035303_00001.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00002.xml,Y,Y,Y,Y,Y, eSc_textblock_6dea40f0, -, -
Bucer_Eph_001,bsb00035303_00003.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00004.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00005.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00006.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00007.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00008.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00009.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00010.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00011.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00012.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00013.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00014.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00015.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00016.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00017.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00018.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00019.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00020.xml,Y,Y,Y,Y,Y, -, -, -
Bucer_Eph_001,bsb00035303_00021.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00022.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00023.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00024.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00025.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00026.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00027.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00028.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00029.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00030.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00031.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00032.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00033.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00034.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00035.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00036.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00037.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00038.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00039.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00040.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00041.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00042.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00043.xml,Y,N,N,N,N, -, -, -
Bucer_Eph_001,bsb00035303_00044.xml,Y,N,N,N,N, -, -, -
